"HHID","WillingShareData_HCP2","Age","Education","CENSREG","RUC2003","Weight","WillingShareData_HCP2_numeric"
"72100001","Inapplicable, coded 2 in WearableDevTrackHealth2",69,"College graduate","South","County in metro area with 1 million population or more",205,NA
"72100005","Yes",62,"Post high school training other than college (vocational or technical)","South","County in metro area with 1 million population or more",150,1
"72100014","Yes",34,"College graduate","West","County in metro area with 1 million population or more",140,1
"72100019","Question answered in error (Commission Error)",65,"Some college","Northeast","County in metro area with 1 million population or more",245,NA
"72100025","Question answered in error (Commission Error)",64,"College graduate","Northeast","County in metro area with 1 million population or more",164,NA
"72100026","Inapplicable, coded 2 in WearableDevTrackHealth2",64,"Postgraduate","South","County in metro area with 1 million population or more",190,NA
"72100027","Yes",26,"College graduate","Northeast","County in metro area with 1 million population or more",190,1
"72100028","Inapplicable, coded 2 in WearableDevTrackHealth2",85,"12 years or completed high school","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",205,NA
"72100031","Yes",32,"Some college","Midwest","County in metro area of 250,000 to 1 million population",162,1
"72100035","Inapplicable, coded 2 in WearableDevTrackHealth2",-9,"Postgraduate","Northeast","County in metro area of 250,000 to 1 million population",150,NA
"72100038","Yes",61,"Postgraduate","West","County in metro area of 250,000 to 1 million population",118,1
"72100048","Inapplicable, coded 2 in WearableDevTrackHealth2",77,"Less than 8 years","West","County in metro area with 1 million population or more",65,NA
"72100063","Question answered in error (Commission Error)",72,"12 years or completed high school","Northeast","County in metro area of 250,000 to 1 million population",202,NA
"72100066","Inapplicable, coded 2 in WearableDevTrackHealth2",67,"12 years or completed high school","South","County in metro area of fewer than 250,000 population",185,NA
"72100070","Yes",66,"Postgraduate","West","County in metro area of 250,000 to 1 million population",164,1
"72100072","Yes",52,"12 years or completed high school","South","County in metro area with 1 million population or more",240,1
"72100082","No",50,"Postgraduate","Northeast","County in metro area with 1 million population or more",105,0
"72100083","Question answered in error (Commission Error)",84,"Postgraduate","Northeast","County in metro area with 1 million population or more",184,NA
"72100086","Yes",54,"College graduate","South","County in metro area with 1 million population or more",130,1
"72100087","Inapplicable, coded 2 in WearableDevTrackHealth2",50,"College graduate","West","County in metro area with 1 million population or more",150,NA
"72100091","Question answered in error (Commission Error)",54,"Post high school training other than college (vocational or technical)","West","County in metro area with 1 million population or more",125,NA
"72100093","Yes",61,"College graduate","Northeast","County in metro area with 1 million population or more",120,1
"72100097","Yes",26,"College graduate","South","County in metro area with 1 million population or more",150,1
"72100107","Inapplicable, coded 2 in WearableDevTrackHealth2",50,"College graduate","Northeast","County in metro area with 1 million population or more",170,NA
"72100112","Question answered in error (Commission Error)",52,"College graduate","Northeast","County in metro area with 1 million population or more",187,NA
"72100117","No",34,"Postgraduate","West","County in metro area with 1 million population or more",202,0
"72100123","Inapplicable, coded 2 in WearableDevTrackHealth2",74,"Some college","South","County in metro area of 250,000 to 1 million population",155,NA
"72100126","Yes",26,"College graduate","West","County in metro area with 1 million population or more",173,1
"72100127","Inapplicable, coded 2 in WearableDevTrackHealth2",63,"Postgraduate","Midwest","County in metro area with 1 million population or more",128,NA
"72100129","Yes",64,"12 years or completed high school","Midwest","County in metro area of fewer than 250,000 population",170,1
"72100136","Inapplicable, coded 2 in WearableDevTrackHealth2",66,"College graduate","South","County in metro area with 1 million population or more",175,NA
"72100140","Yes",44,"Postgraduate","South","County in metro area with 1 million population or more",124,1
"72100143","No",23,"Some college","South","County in metro area with 1 million population or more",110,0
"72100153","Yes",42,"College graduate","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",190,1
"72100161","Question answered in error (Commission Error)",75,"Postgraduate","Midwest","County in metro area with 1 million population or more",194,NA
"72100166","Yes",-7,"Missing data (Web partial - Question Never Seen)","South","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",125,1
"72100170","Inapplicable, coded 2 in WearableDevTrackHealth2",26,"Some college","West","County in metro area of fewer than 250,000 population",190,NA
"72100172","Yes",35,"Post high school training other than college (vocational or technical)","Northeast","County in metro area of 250,000 to 1 million population",145,1
"72100174","Inapplicable, coded 2 in WearableDevTrackHealth2",85,"College graduate","Midwest","County in metro area of 250,000 to 1 million population",156,NA
"72100179","Inapplicable, coded 2 in WearableDevTrackHealth2",62,"Postgraduate","Northeast","County in metro area with 1 million population or more",170,NA
"72100184","Yes",29,"College graduate","Midwest","County in metro area with 1 million population or more",140,1
