Variable Name	Category	Definition	Type/Range	Values/Coding	Notes
privacy_caution_index	Privacy Index	Composite privacy caution index	0-1 (continuous)	0 = Least cautious (more sharing, trusting, digital engagement); 1 = Most cautious (less sharing, distrusting, limited engagement)	Mean of 6 sub-dimensions. Cronbach's α = 0.78. Range: 0.23-0.78, Mean: 0.47 (SD: 0.09)
Sub-dimension: Sharing	Privacy Index	Data sharing willingness (4 variables)	0-1 (continuous)	Yes = 0, No = 1, Missing = 0.5	Variables: WillingShareData_HCP2, SharedHealthDeviceInfo2, SocMed_SharedPers, SocMed_SharedGen
Sub-dimension: Portals	Privacy Index	Patient portal usage (7 variables)	0-1 (continuous)	Selected = 0, Not selected = 1, Missing = 0.5	Variables: AccessOnlineRecord3, OnlinePortal_PCP, OnlinePortal_OthHCP, OnlinePortal_Insurer, OnlinePortal_Lab, OnlinePortal_Pharmacy, OnlinePortal_Hospital
Sub-dimension: Devices	Privacy Index	Digital device usage (4 variables)	0-1 (continuous)	Yes = 0, No = 1, Missing = 0.5	Variables: UseDevice_Computer, UseDevice_SmPhone, UseDevice_Tablet, UseDevice_SmWatch
Sub-dimension: Trust	Privacy Index	Healthcare system trust (4 variables)	0-1 (continuous)	A lot = 0, Some = 0.3, A little = 0.7, Not at all = 1, Missing = 0.5	Variables: TrustHCSystem, CancerTrustDoctor, CancerTrustScientists, CancerTrustFamily
Sub-dimension: Social	Privacy Index	Social media engagement (2 variables)	0-1 (continuous)	Yes = 0, No = 1, Missing = 0.5	Variables: SocMed_Visited, MisleadingHealthInfo
Sub-dimension: Other	Privacy Index	Other privacy concerns (2 variables)	0-1 (continuous)	Confident/Willing = 0, Not confident/Willing = 1, Missing = 0.5	Variables: ConfidentMedForms, WillingUseTelehealth
WillingShareData_HCP2	Willingness Variables	Willingness to share health data with healthcare providers	Binary (0/1)	0 = Not willing, 1 = Willing	Primary dependent variable. Recoded from Yes/No to 0/1. Valid cases: 2,662
AccessOnlineRecord3	Digital Engagement	Accessed online medical records	Binary (Yes/No)	Yes = Accessed online records, No = Did not access	Portal engagement indicator
OnlinePortal_PCP	Digital Engagement	Used primary care provider portal	Binary (Selected/Not selected)	Selected = Used portal, Not selected = Did not use	Portal engagement indicator
OnlinePortal_OthHCP	Digital Engagement	Used other healthcare provider portal	Binary (Selected/Not selected)	Selected = Used portal, Not selected = Did not use	Portal engagement indicator
OnlinePortal_Insurer	Digital Engagement	Used insurer portal	Binary (Selected/Not selected)	Selected = Used portal, Not selected = Did not use	Portal engagement indicator
OnlinePortal_Lab	Digital Engagement	Used laboratory portal	Binary (Selected/Not selected)	Selected = Used portal, Not selected = Did not use	Portal engagement indicator
OnlinePortal_Pharmacy	Digital Engagement	Used pharmacy portal	Binary (Selected/Not selected)	Selected = Used portal, Not selected = Did not use	Portal engagement indicator
OnlinePortal_Hospital	Digital Engagement	Used hospital portal	Binary (Selected/Not selected)	Selected = Used portal, Not selected = Did not use	Portal engagement indicator
UseDevice_Computer	Digital Engagement	Used computer for health purposes	Binary (Yes/No)	Yes = Used computer, No = Did not use	Device engagement indicator
UseDevice_SmPhone	Digital Engagement	Used smartphone for health purposes	Binary (Yes/No)	Yes = Used smartphone, No = Did not use	Device engagement indicator
UseDevice_Tablet	Digital Engagement	Used tablet for health purposes	Binary (Yes/No)	Yes = Used tablet, No = Did not use	Device engagement indicator
UseDevice_SmWatch	Digital Engagement	Used smartwatch for health purposes	Binary (Yes/No)	Yes = Used smartwatch, No = Did not use	Device engagement indicator
WillingUseTelehealth	Digital Engagement	Willingness to use telehealth services	Binary (Yes/No)	Yes = Willing to use, No = Not willing	Digital health engagement indicator
diabetic	Diabetes Status	Diabetes status indicator	Binary (0/1)	0 = No diabetes, 1 = Has diabetes	Recoded from MedConditions_Diabetes (Yes → 1, No → 0). Sample: 1,534 diabetic (21.1%), 5,744 non-diabetic (78.9%)
age_continuous	Control Variables	Age in years	Continuous	Range: 18-100+	Original variable: Age. Mean: 58.3 years
education_numeric	Control Variables	Education level (numeric)	Ordinal (1-6)	1 = Less than 8 years; 2 = 8-11 years; 3 = 12 years or completed high school; 4 = Some college or post high school training; 5 = College graduate; 6 = Postgraduate	Recoded from Education. 45.2% have some college education or higher
region_numeric	Control Variables	Census region	Categorical (1-4)	1 = Northeast; 2 = Midwest; 3 = South; 4 = West	Recoded from CENSREG
urban	Control Variables	Urban/rural status	Binary (0/1)	0 = Rural, 1 = Urban	Recoded from RUC2003 (metro = 1)
has_insurance	Control Variables	Health insurance status	Binary (0/1)	0 = No insurance, 1 = Has insurance	Recoded from HealthInsurance2. 85.3% have insurance
male	Control Variables	Gender (male indicator)	Binary (0/1)	0 = Female, 1 = Male	Recoded from BirthSex. 47.9% male, 52.1% female
race_numeric	Control Variables	Race/ethnicity (numeric)	Categorical (1-5)	1 = Non-Hispanic White; 2 = Non-Hispanic Black; 3 = Hispanic; 4 = Non-Hispanic Asian; 5 = Other	Recoded from RaceEthn5
received_treatment	Control Variables	Received cancer treatment	Binary (0/1)	0 = No treatment, 1 = Received treatment	Recoded from Treatment_H7_1
stopped_treatment	Control Variables	Stopped treatment	Binary (0/1)	0 = Did not stop, 1 = Stopped treatment	Recoded from PCStopTreatments2
